label,samples
答时间,300
不信任,300
查联系方式,300
thank,300
肯定(知道了),300
greet,300
语气词,300
肯定(好的),300
查收费方式,300
否定答复,300
答非所问,300
资金困难,300
肯定(是的),296
肯定(嗯嗯),274
礼貌用语,252
查操作流程,203
疑问(时间),203
查自我介绍,188
骚扰电话,167
要求复述,158
肯定(可以),157
祝福用语,155
会按时处理,149
肯定(正确),149
疑问(地址),149
你还在吗,148
实体(地址),147
未能理解,144
否定(错误),139
请讲,132
用户正忙,130
否定(不知道),124
赞美用语,124
否定(不是),121
查公司介绍,118
是否机器人,117
请讲重点,115
查详细信息,113
已完成,112
否定(不想要),108
疑问(数值),107
招呼用语,106
质疑来电号码,105
遭遇不幸,105
转人工客服,96
否定(不可以),93
问意图,88
投诉警告,87
价格太高,87
号码来源,85
改天再谈,85
我在,72
请等一等,69
否定(不需要),66
bye,66
听我说话,62
否定(没兴趣),60
听不清楚,56
疑问(时长),54
查物品信息,52
祝贺用语,52
否定(不用了),51
查优惠政策,48
请求谅解,46
打错电话,46
结束用语,46
否定(没时间),44
否定(取消),41
肯定(有),41
肯定(好了),38
时间推迟,36
否定(不清楚),35
否定(不方便),23
